;new_id;contador;Web;Título;Autor;tipo_suscripcion;Cabecera;Fecha;rating_medio;total_lecturas
0;new_1_070720;1;El Confidencial;Marjaliza detalla ante el juez las supuestas mordidas de la trama Púnica a PP, PSOE e IU;Pablo Gabilondo;new;1;2020-07-07;3.0067437379576107;32482.0
4;new_3_070720;1;El Confidencial;Ayuso siempre se adelantó: el PP de Madrid vuelve al cuerpo a cuerpo contra Sánchez;A. Pérez Giménez;new;0;2020-07-07;3.0018493546522826;32463.0
8;new_4_070720;1;El Confidencial;Sanidad no tiene datos fiables de muertes por covid-19 en residencias de ancianos;EFE;new;0;2020-07-07;2.990251765428308;32590.0
12;new_5_070720;1;El Confidencial;Dimite uno de los fichajes de Hernàndez en RTVE a los cinco días de nombrarlo;Víctor Romero. Valencia;new;0;2020-07-07;2.9918824893699267;32372.0
16;new_6_070720;1;El Confidencial;El acta que incrimina al rey Juan Carlos;José María Olmo;new;0;2020-07-07;3.006720222462537;32496.0
19;new_7_070720;1;El Confidencial;Cs busca un pacto antitránsfugas con PSOE y PP tras el caso de Santa Cruz;Paloma Esteban;new;0;2020-07-07;3.0076610740825864;32554.0
21;new_8_070720;1;El Confidencial;Una mujer se tira desde un balcón por miedo a ser agredida por su marido en Manresa;Europa Press;new;0;2020-07-07;3.015255735311071;32531.0
24;new_9_070720;1;El Confidencial;El Gobierno planea fuertes restricciones a la agricultura en el entorno del Mar Menor;Víctor Romero;new;0;2020-07-07;3.0016579272054287;32558.0
27;new_10_070720;1;El Confidencial;Asturias registra su primer positivo tras 25 días sin casos nuevos de coronavirus;Europa Press;new;0;2020-07-07;2.9868487216183808;32311.0
31;new_11_070720;1;El Confidencial;Hidroxicloroquina, remdesivir... Sospechan de más de 300 reacciones adversas en España;EFE;new;0;2020-07-07;2.9973656684616277;32511.0
35;new_12_070720;1;El Confidencial;Cinco comunidades en alerta naranja por calor de hasta 42 grados;EFE;new;0;2020-07-07;2.993293763971325;32369.0
39;new_13_070720;1;El Confidencial;"Interior aprueba el traslado de tres presos etarras; dos, con delitos de sangre";Europa Press;new;0;2020-07-07;3.002072061701393;32502.0
42;new_14_070720;1;El Confidencial;Igual escucháis que ETA no fue para tanto...: Carta de la Fundación Blanco a los jóvenes;Jose Mari Alonso. Vitoria;new;0;2020-07-07;3.001498789439299;32564.0
45;new_15_070720;1;El Confidencial;El Govern decidirá mañana sobre el uso obligatorio de mascarillas que pide Salut;EFE;new;0;2020-07-07;2.998073811541721;32593.0
48;new_16_070720;1;El Confidencial;Torra exige a Sánchez y al director del MEDE una inyección de liquidez inmediata;Europa Press;new;0;2020-07-07;3.003000923361034;32456.0
50;new_17_070720;1;El Confidencial;Del riesgo de desaparición a medirse con el PSdG: la revolución de Ana Pontón en el BNG;Iván Gil;new;0;2020-07-07;2.985132390696249;32598.0
52;new_20_070720;1;El Confidencial;Detenidos once miembros de un grupo que robaba droga a otros narcos;EFE;new;0;2020-07-07;3.0032546786004883;32411.0
62;new_21_070720;1;El Confidencial;Rebrote en A Mariña: el confinamiento de 71.000 personas frena el optimismo de Feijóo;Pablo López. Vigo;new;0;2020-07-07;3.0044721351578625;32605.0
71;new_22_070720;1;El Confidencial;Sánchez es optimista sobre Calviño y avisa: el fondo UE debe cerrarse ya ;Juanma Romero;new;0;2020-07-06;3.0029581252401076;32471.0
80;new_23_070720;1;El Confidencial;Con los Reyes pero sin Sánchez: así ha sido la misa funeral por las víctimas de la pandemia;EC;new;0;2020-07-06;3.006112328451159;32523.0
92;new_24_070720;1;El Confidencial;Los brotes elevan los contagios semanales a la cifra más alta en el último mes;C. B.;new;0;2020-07-06;2.9804035026810167;32550.0
105;new_25_070720;1;El Confidencial;La bajada a los infiernos de Anboto, la mujer que alcanzó la cumbre de ETA;Beatriz Parera;new;0;2020-07-06;2.981737793156478;32421.0
118;new_26_070720;1;El Confidencial;Vox pide ser acusación en el 'caso Dina' y exige que Iglesias se explique ante el juez;Europa Press;new;0;2020-07-06;3.0012672324411507;32408.0
131;new_28_070720;1;El Confidencial;Díaz Ayuso recurre la orden de Sanidad sobre los controles en los aeropuertos;Europa Press;new;0;2020-07-07;3.0106116148948487;32449.0
140;new_29_070720;1;El Confidencial;Registrado un ligero terremoto en varias localidades de Huesca ;Daniela Torres;new;0;2020-07-07;2.9981429179401866;32406.0
149;new_30_070720;1;El Confidencial;Baleares lleva un año sacando okupas sin orden judicial: Ha reducido el problema;David Brunat ;new;0;2020-07-06;2.995327639692084;32501.0
158;new_31_070720;1;El Confidencial;El Gobierno extenderá la moratoria de las hipotecas y cortes de suministros básicos;Iván Gil;new;0;2020-07-06;3.007543103448276;32528.0
171;new_32_070720;1;El Confidencial;El Gobierno impone perfil bajo en el funeral del covid con los Reyes este lunes;Paloma Esteban;new;0;2020-07-06;2.9917294968456685;32498.0
183;new_33_070720;1;El Confidencial;El 'no San Fermín': sin chupinazo, sin fiesta, sin alcohol y sin política... y con mascarilla;Jose Mari Alonso. Pamplona;new;0;2020-07-06;2.9942185392175755;32433.0
196;new_34_070720;1;El Confidencial;Iglesias se presenta como víctima de las cloacas y descarta PGE con Ciudadanos;I. Gil;new;0;2020-07-06;3.003632053830861;32649.0
205;new_35_070720;1;El Confidencial;Juan Carlos I diseñó en Zarzuela la red para cobrar el dinero árabe;EC;new;1;2020-07-06;2.992599730198497;32496.0
210;new_37_070720;1;El Confidencial;¿Familia Franco o Estado? 17 testigos para dilucidar la propiedad del Pazo de Meirás;Agencias;new;0;2020-07-06;3.007120707476743;32633.0
215;new_38_070720;1;El Confidencial;El Gobierno aborta el viaje de los Reyes a Ceuta y Melilla para no molestar a Rabat ;Ignacio Cembrero;new;0;2020-07-06;3.0049066584889026;32522.0
217;new_39_070720;1;El Confidencial;La Fiscalía apoyó la ofensiva de Podemos contra los medios de comunicación;José María Olmo;new;0;2020-07-06;2.9989529607941985;32296.0
219;new_40_070720;1;El Confidencial;España recibe de Suiza los datos sobre Juan Carlos I y activa la investigación del fiscal;Beatriz Parera;new;0;2020-07-06;2.984952278325123;32570.0
221;new_41_070720;1;El Confidencial;Montilla defiende que su fichaje por Enagás es legal ;Europa Press;new;0;2020-07-06;2.9890945395898934;32568.0
223;new_42_070720;1;El Confidencial;ERC pide a Torra reunir a la parte catalana para ir preparados a la mesa de diálogo;Europa Press;new;0;2020-07-06;3.015286526348133;32449.0
225;new_43_070720;1;El Confidencial;Hablamos de una crisis para reforzar el Gobierno, pero Imbroda es insustituible;Isabel Morillo. Sevilla;new;0;2020-07-06;3.0098359396011833;32616.0
227;new_44_070720;1;El Confidencial;Alerta por calor: siete comunidades en aviso por temperaturas de hasta 43 grados;EFE;new;0;2020-07-06;2.9988832839154376;32519.0
232;new_45_070720;1;El Confidencial;'Papa del tocino': el italiano perseguido en Europa que trajo el 'matadero del covid';Ferran Barber. Lleida;new;0;2020-07-06;3.0014437689969604;32797.0
237;new_47_070720;1;El Confidencial;Interior, atascado en las prisiones: la Guardia Civil lleva 6 meses parcheando la seguridad;Roberto R. Ballesteros;new;0;2020-07-06;3.0141841245435326;32490.0
239;new_48_070720;1;El Confidencial;El juez planea viajar a Gales para confirmar si Iglesias destruyó la tarjeta de Dina;Beatriz Parera;new;0;2020-07-06;2.9896550398030994;32496.0
241;new_49_070720;1;El Confidencial;Se estrella un helicóptero en llamas en Fórnols (Lleida) y mueren los dos pasajeros;Europa Press;new;0;2020-07-06;2.993531744503908;32443.0
243;new_50_070720;1;El Confidencial;La Fiscalía denuncia que los 2,5 millones fueron a La cuenta del exdiputado de Vox;Isabel Morillo. Sevilla;new;0;2020-07-06;3.0001535862386732;32472.0
245;new_51_070720;1;El Confidencial;Una mujer mata a su hijo de 6 años y se suicida en un hostal de Madrid;Efe;new;0;2020-07-06;2.9961508852963816;32582.0
247;new_52_070720;1;El Confidencial;La imagen de la semana | Salvador Illa, el ministro maravilla;Rubén Amón;new;1;2020-07-05;2.994862682992777;32490.0
249;new_54_070720;1;El Confidencial;12-J: Estabilidad y efectos secundarios a medio plazo;Fernando Garea;new;0;2020-07-05;2.9959376077875293;32572.0
251;new_55_070720;1;El Confidencial;Navarra en las elecciones vascas: de reforzar vínculos al derecho a decidir;Jose Mari Alonso. Vitoria;new;0;2020-07-05;3.0013897467572574;32449.0
253;new_56_070720;1;El Confidencial;Madrid constituye este lunes la comisión para investigar la gestión de las residencias;EC/Agencias;new;0;2020-07-05;3.0026759432700025;32562.0
255;new_62_070720;1;El Confidencial;El alcalde de Lleida se queja de que el Estado mira a hacia otro lado con los temporeros;EFE;new;0;2020-07-05;2.998334301762541;32480.0
257;new_63_070720;1;El Confidencial;Los otros pulsos en las elecciones gallegas: del liderazgo en la izquierda al Feijóo-Génova;Iván Gil;new;0;2020-07-05;3.002887099225042;32668.0
259;new_65_070720;1;El Confidencial;La Xunta cierra durante 5 días la comarca de A Mariña (Lugo) por el rebrote;Europa Press;new;0;2020-07-05;3.0044548561772726;32493.0
261;new_83_070720;1;El Confidencial;De Feijóo a Pontón: estos son los candidatos a las elecciones gallegas 2020;El Confidencial;new;0;2020-07-03;3.006516174074936;32363.0
265;new_86_070720;1;El Confidencial;El PP recalca que el pacto con el PSOE no está cerrado e insta a más acuerdos en sanidad;El Confidencial;new;1;2020-07-02;3.0105307659787077;32582.0
269;new_87_070720;1;El Confidencial;La comisión de reconstrucción muestra la imposible transversalidad para los PGE;Fernando Garea;new;0;2020-07-02;3.0026259895732768;32549.0
271;new_88_070720;1;El Confidencial;España admitió a Europa el 3 de marzo su incapacidad para vigilar casos sospechosos;Antonio Villarreal;new;0;2020-07-02;3.003177520003063;32550.0
274;new_89_070720;1;El Confidencial;Puigdemont eclipsa el tercer grado de Junqueras con el lanzamiento de su partido;Marcos Lamelas. Barcelona;new;0;2020-07-02;3.0078568143492257;32575.0
277;new_90_070720;1;El Confidencial;Iglesias pasa de puntillas por la campaña de las gallegas y delega el protagonismo a Díaz;Iván Gil;new;0;2020-07-02;3.00558336542164;32493.0
280;new_91_070720;1;El Confidencial;Oriol Junqueras: Es un paso más, pero seguimos siendo presos políticos;Europa Press;new;0;2020-07-02;2.9883446272991288;32415.0
283;new_92_070720;1;El Confidencial;Detenido por incitar al odio contra la Casa Real y las fuerzas de seguridad en redes;EFE;new;0;2020-07-02;2.990682749555401;32456.0
286;new_93_070720;1;El Confidencial;El covid dispara a Almeida, pero sigue necesitando a Cs y Vox para ser alcalde;A. P. G.;new;0;2020-07-01;3.0047033424573035;32502.0
289;new_94_070720;1;El Confidencial;UP se desmarca del PSOE y vota a favor del impuesto a las grandes fortunas;Iván Gil;new;0;2020-07-01;2.9897006634778585;32519.0
